"text","retweet_count","favorited","truncated","id_str","in_reply_to_screen_name","source","retweeted","created_at","in_reply_to_status_id_str","in_reply_to_user_id_str","lang","listed_count","verified","location","user_id_str","description","geo_enabled","user_created_at","statuses_count","followers_count","favourites_count","protected","user_url","name","time_zone","user_lang","utc_offset","friends_count","screen_name","country_code","country","place_type","full_name","place_name","place_id","place_lat","place_lon","lat","lon","expanded_url","url","hashtags"
"RT @tyleroakley: to go to jail together, to stand up for freedom together, #IHaveADream",543,FALSE,FALSE,821049418870878208,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Mon Jan 16 17:40:10 +0000 2017",NA,NA,"en",1,FALSE,NA,767468003969630208,"Gamer 4 life",FALSE,"Sun Aug 21 21:06:45 +0000 2016",537,20,611,FALSE,NA,"Detusiro",NA,"en",NA,121,"Detusirosos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IHaveADream"
"RT @samwhiteout: #MLKday (via @SuperPoorKids) https://t.co/IdNHyfjQgk",11,FALSE,FALSE,821049418573119488,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Mon Jan 16 17:40:10 +0000 2017",NA,NA,"und",4,FALSE,"Hollywood , CA",1009549880,"16, Photography í ½í³¸Ig: queeennn_stofff",TRUE,"Thu Dec 13 19:27:05 +0000 2012",4565,265,3149,FALSE,NA,"Jocelyn Steven","Pacific Time (US & Canada)","en",-28800,1653,"queeennn_pixie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MLKday"
"#SongLyricsNotToSingInJail
""Ich trag Oversize-Pullover um das Heroin zu schmuggeln!""",0,FALSE,FALSE,821049418573025280,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Mon Jan 16 17:40:10 +0000 2017",NA,NA,"de",5,FALSE,"Zu Hause",4577490623,"Hier tweete ich meine Gedanken.






























New video:
http://www.youtube.com/watch?v=-ZUo008xRyQ&",TRUE,"Wed Dec 23 10:28:21 +0000 2015",1781,110,6386,FALSE,"https://youtu.be/-ZUo008xRyQ","meme","Bern","de",3600,492,"DieRektOfficial","DE","Deutschland","city","Ãberlingen, Deutschland",NA,NA,47.785776,9.160518,NA,NA,NA,NA,"SongLyricsNotToSingInJail"
"#IHaveADream #HappyMLKday",0,FALSE,FALSE,821049419470540800,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Mon Jan 16 17:40:10 +0000 2017",NA,NA,"und",13,FALSE,"Bakersfield, CA",703861538734497792,"instagram: alaysianicks_",TRUE,"Sun Feb 28 08:37:22 +0000 2016",21473,1547,7959,FALSE,NA,"lay",NA,"en",NA,922,"alaysia88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IHaveADream HappyMLKday"
"#MLKDAY https://t.co/IDo38Q3wrd",0,FALSE,FALSE,821049418120101888,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Mon Jan 16 17:40:10 +0000 2017",NA,NA,"und",10,FALSE,"Burnley, England",712334518842216448,"Mathematics Teacher at Coal Clough Academy Burnley!",FALSE,"Tue Mar 22 17:45:58 +0000 2016",455,227,260,FALSE,NA,"Sarah Thomas",NA,"en-GB",NA,578,"sthomas246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MLKDAY"
"RT @WilliamValdes: The man. The legend. The dream â¤ #MLKDAY https://t.co/yN0KRSzt3C",12,FALSE,FALSE,821049419638439936,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Mon Jan 16 17:40:10 +0000 2017",NA,NA,"en",3,FALSE,"anthony's heartâ¤ï¸",150348984,"Dominican 7/24/12â¤ intagram :princess_900",TRUE,"Mon May 31 18:19:42 +0000 2010",13062,148,178,FALSE,"https://twitter.com/JericaSanchez","March_3â¨","Eastern Time (US & Canada)","en",-18000,516,"js_96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MLKDAY"
"RT @SenSanders: While it's easy for politicians to say nice things about Dr. King, at the same time they are suppressing the vote. #MLKDAY",1548,FALSE,FALSE,821049420116529152,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Mon Jan 16 17:40:10 +0000 2017",NA,NA,"en",6,FALSE,"purple tube of consciousness",529005798,"dance floor trashy with cups & glitterí ¾í¶ TJBâ¥",TRUE,"Mon Mar 19 01:37:56 +0000 2012",14924,765,13442,FALSE,NA,"yungzwill*:ï½¥ï¾â§","Eastern Time (US & Canada)","en",-18000,276,"invaderdreww",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MLKDAY"
"RT @Bharper3407: Today we celebrate the Life of Dr. Martin Luther King Jrí ½í¹í ¼í¿» #MLKDAY https://t.co/KZd5nwPbur",475,FALSE,FALSE,821049420246642688,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Mon Jan 16 17:40:10 +0000 2017",NA,NA,"en",25,FALSE,"wherever sia tells me to go ",2297921200,"radical feelismí ½í¹í ¼í¿»",TRUE,"Wed Jan 22 19:42:08 +0000 2014",26325,4586,2934,FALSE,"https://Instagram.com/silvaguille/","forrÃ¡ndula","Brasilia","es",-7200,4896,"guillesilvaok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MLKDAY"
"Dude looks like a lady #SongLyricsNotToSingInJail",0,FALSE,FALSE,821049420435308544,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Mon Jan 16 17:40:10 +0000 2017",NA,NA,"en",1,FALSE,"Saint Pauls, NC",768593365957042176,"I have a cute little girl and I tell jokes on a stage. Libertarian #MAGA #proudboy",FALSE,"Wed Aug 24 23:38:33 +0000 2016",320,162,35,FALSE,NA,"Jesus Madden",NA,"en",NA,293,"TheJesusMadden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SongLyricsNotToSingInJail"
"RT @brainpicker: For #MLKDay, revisit Dr. King's immensely important and increasingly timely ""Letter from Birmingham City Jail""â¦ ",101,FALSE,FALSE,821049420280201216,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",FALSE,"Mon Jan 16 17:40:10 +0000 2017",NA,NA,"en",7,FALSE,NA,239773969,"Villa Fan. Likes icebergs! Perhaps more of a metaphor for the burgeoning and sparkling talent being discovered in the Aston Villa squad...it's there!",TRUE,"Tue Jan 18 11:51:24 +0000 2011",2551,151,799,FALSE,NA,"Louise O'Connor",NA,"en",NA,726,"LouzieO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://twitter.com/lelepons/status/821042410725642240","","MLKDay"
