"text","retweet_count","favorited","truncated","id_str","in_reply_to_screen_name","source","retweeted","created_at","in_reply_to_status_id_str","in_reply_to_user_id_str","lang","listed_count","verified","location","user_id_str","description","geo_enabled","user_created_at","statuses_count","followers_count","favourites_count","protected","user_url","name","time_zone","user_lang","utc_offset","friends_count","screen_name","country_code","country","place_type","full_name","place_name","place_id","place_lat","place_lon","lat","lon","expanded_url","url"
"@Apocalypto_12 #BigBoyBongos Ethan.",0,FALSE,FALSE,"822577776209313792","Apocalypto_12","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",FALSE,"Fri Jan 20 22:53:19 +0000 2017","822556130253619201","992513672","cy",0,FALSE,"No go away","2951989151","I saw a beautiful quote today, I forgot what it said. Probably something inspirational. Or was it about farts? I don't remember.
|-/",FALSE,"Tue Dec 30 22:18:10 +0000 2014",95,5,1023,FALSE,NA,"jenna wilson",NA,"en",NA,54,"butterflygamer3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RT @GOP: Congratulations to our newest Secretary of Defense, General James Mattis! https://t.co/FVjDSLeKP3",609,FALSE,FALSE,"822578465497083908",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Fri Jan 20 22:56:03 +0000 2017",NA,NA,"en",30,FALSE,NA,"244710180","I will Tweet & Retweet until my fingers are raw for the sake of My Grandkids.",FALSE,"Sat Jan 29 23:33:07 +0000 2011",24968,807,26827,FALSE,NA,"Ì†ΩÌ∞∏GabGrandmaÌ†ΩÌ∞∏","Pacific Time (US & Canada)","en",-28800,4,"JoyfulGrandma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RT @SethGoodtime: Al Roker offered Mike Pence candy on the parade route. Who would of thought the way to get them out of government was the‚Ä¶",16,FALSE,FALSE,"822578523076460546",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Fri Jan 20 22:56:17 +0000 2017",NA,NA,"en",513,FALSE,"No Marketers/GetTwitterFollows","36297832","Welfare of Children & Animals / Imagine no possessions,No need for greed or hunger,(Lennon)  #TheResistance #ImStillWithHer",TRUE,"Wed Apr 29 05:39:23 +0000 2009",157942,12755,2991,FALSE,"http://page.is/moonangelwings","MoonAngelWings","Mountain Time (US & Canada)","en",-25200,11669,"MoonAngelWings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I go to work this morning and everything's normal, I get home and Donald Fucking Trump is President?  Life comes at you fast.",0,FALSE,FALSE,"822578121211777026",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Fri Jan 20 22:54:41 +0000 2017",NA,NA,"en",17,FALSE,"Milwaukee, WI","1316604217","Dude that's just trying to muddle through life the best that he can.",TRUE,"Sat Mar 30 14:55:44 +0000 2013",12088,517,16812,FALSE,NA,"Zack Holder",NA,"en",NA,1221,"Milwaukeezack","US","United States","city","Milwaukee, WI",NA,NA,43.0567225,-87.9672925,NA,NA,NA,NA
"RT @PoliticsGhost: True Capitalist Radio LIVE
.

.
https://t.co/X0Q2TByjJ0 
.

.
#TrumpInauguration  #InaugurationDay #BigBoyBongos #WatchU‚Ä¶",348,FALSE,FALSE,"822580460966514690",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Fri Jan 20 23:03:59 +0000 2017",NA,NA,"en",14,FALSE,"Chiraq","4538687428","True Capitalist Radio airs weekdays at 4-7pm CDT across the nation and around the world at http://BlogTalkRadio.com/ghost. SPREAD IT AROUND LIKE WILDFIRE!",FALSE,"Sat Dec 19 19:46:15 +0000 2015",809,198,74,FALSE,"http://blogtalkradio.com/ghost","Inickeration",NA,"en",NA,95,"ChicagoForGhost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://USATrump.co.vu/1Ez","https://t.co/X0Q2TByjJ0"
"RT @ABC: Family of President-elect Donald Trump deplanes at Joint Base Andrews ahead of Inauguration Day. https://t.co/yc3kaInrDV",427,FALSE,FALSE,"822577725693108226",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Fri Jan 20 22:53:07 +0000 2017",NA,NA,"en",7,FALSE,"Montclair, NJ","3404408153","LilShawtybadÌ†ΩÌ∏ª",TRUE,"Wed Aug 05 16:51:21 +0000 2015",5882,336,3943,FALSE,NA,"LilBaÌ†ºÌµ±Ô∏èy.T",NA,"en",NA,2022,"TameeaE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"And so 4 years of hell begins.....is it 2020 yet? https://t.co/EIwVk3tb87",0,FALSE,FALSE,"822579222208192514",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Fri Jan 20 22:59:04 +0000 2017",NA,NA,"en",4,FALSE,NA,"117971095","I am a fan of great music.",FALSE,"Sat Feb 27 05:44:23 +0000 2010",19261,472,5864,FALSE,NA,"Darcy","Central Time (US & Canada)","en",-21600,659,"Darqm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://twitter.com/trxduner/status/822575691988398081","https://t.co/EIwVk3tb87"
"RT @GeorgeTakei: The White House removed its climate change web page. And the healthcare, civil rights and LGBT sections. Just thought you‚Ä¶",69532,FALSE,FALSE,"822580933022904324",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Fri Jan 20 23:05:51 +0000 2017",NA,NA,"en",4,FALSE,NA,"35261952","I am a Reiki practitioner and elephant lover. Looking to make a difference!!!",TRUE,"Sat Apr 25 17:26:43 +0000 2009",1188,52,985,FALSE,NA,"Dena Mastrangelo",NA,"en",NA,65,"Dmaster42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RT @chrissyteigen: Come, my son https://t.co/mgtbKFGHwn",36,FALSE,FALSE,"822579210741022720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Fri Jan 20 22:59:01 +0000 2017",NA,NA,"en",2,FALSE,NA,"2516919847",NA,FALSE,"Fri May 23 03:09:59 +0000 2014",15176,417,11617,FALSE,NA,"julieÌ†ºÌºπ",NA,"en",NA,508,"JuicyjulieReyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://youtu.be/kUaAsdzoclc?a","https://t.co/mgtbKFGHwn"
"RT @GeorgeTakei: The White House removed its climate change web page. And the healthcare, civil rights and LGBT sections. Just thought you‚Ä¶",69554,FALSE,FALSE,"822580969916006401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Fri Jan 20 23:06:00 +0000 2017",NA,NA,"en",11,FALSE,"marie ","2495637477","myriam, myri pour les intimes, bae s'tu veux m'soulever Ì†ΩÌ∂á insta : brtmyriam Ì†ºÌ∑≤Ì†ºÌ∑¶Ì†ºÌ∑≤Ì†ºÌ∑≥",FALSE,"Sat Apr 19 21:07:06 +0000 2014",39454,511,11871,FALSE,"https://curiouscat.me/mixaposensibles","futur grande frappe","Ljubljana","fr",3600,576,"mixaposensibles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
