"text","retweet_count","favorited","truncated","id_str","in_reply_to_screen_name","source","retweeted","created_at","in_reply_to_status_id_str","in_reply_to_user_id_str","lang","listed_count","verified","location","user_id_str","description","geo_enabled","user_created_at","statuses_count","followers_count","favourites_count","protected","user_url","name","time_zone","user_lang","utc_offset","friends_count","screen_name","country_code","country","place_type","full_name","place_name","place_id","place_lat","place_lon","lat","lon","expanded_url","url"
"RT @ManUtd: 90+4' - GOOOAL! Stoke 1 United 1. 

Wayne Rooney equalises and makes history to become #MUFC's all-time leading sco‚Ä¶ ",14582,FALSE,FALSE,"822851628957110272",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Sat Jan 21 17:01:30 +0000 2017",NA,NA,"en",1,FALSE,"Wigan, England","4877709983","Pro Minecraft Spleef Player
@ManUtd",FALSE,"Fri Feb 05 12:24:54 +0000 2016",162,50,41,FALSE,"https://www.youtube.com/channel/UC8Nu7BgHr3eTq8TQFzuNCaA","Alex Bond","London","en",0,47,"bondcs_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://twitter.com/BuzzFeedNews/status/822850588182540289",""
"RT @TheDailyEdge: CNN: ""There is a remarkable moment happening right now, behind us, in front of us, all around us"" #WomensMarch https://t.‚Ä¶",266,FALSE,FALSE,"822852249139478528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Sat Jan 21 17:03:58 +0000 2017",NA,NA,"en",11,FALSE,NA,"426275778",NA,FALSE,"Fri Dec 02 01:48:08 +0000 2011",3596,108,689,FALSE,NA,"F blanch",NA,"en",NA,1152,"Fab7555",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RT @VarskySports: Wayne Rooney rescat√≥ sobre la hora a Manchester United (1-1 vs Stoke) y se convirti√≥ en el goleador hist√≥rico del c‚Ä¶ ",23,FALSE,FALSE,"822852157175197697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Sat Jan 21 17:03:36 +0000 2017",NA,NA,"es",4,FALSE,"Mar del Plata, Argentina","520967402","20 a√±os",TRUE,"Sun Mar 11 03:27:52 +0000 2012",81039,639,4554,FALSE,"https://www.instagram.com/juaann.delbino/","JuaancitoÌ†ΩÌ≤é","Brasilia","es",-7200,388,"JuaanDelbino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://twitter.com/gottalaff/status/822850030600011776",""
"RT @omid9: Wow. Big congrats Wayne Rooney. 250th and one of the best https://t.co/vP0nVxAJTp",1,FALSE,FALSE,"822851704173580288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Sat Jan 21 17:01:48 +0000 2017",NA,NA,"en",4,FALSE,NA,"219688129","History will be kind to me...... For I intend to write it! #DaddySpud",FALSE,"Thu Nov 25 15:48:28 +0000 2010",10666,310,641,FALSE,NA,"Shaun Gorman",NA,"en",NA,680,"ShaunNGU85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://ln.is/UXVKs","https://t.co/vP0nVxAJTp"
"‚íà #Enlace509
‚íâ Sergio Ramos
‚íä #SimulacroNacionalCNE
‚íã #GobernarContigo
‚íå #WomensMarch

2017/1/21 11:56 ECT #trndnl https://t.co/ImTx1Tdu04",0,FALSE,FALSE,"822851263960256512",NA,"<a href=""http://laconversa.com"" rel=""nofollow"">Es Tendencia en Ecuador</a>",FALSE,"Sat Jan 21 17:00:03 +0000 2017",NA,NA,"es",194,FALSE,"Ecuador","1182074978","Informaci√≥n sobre los Temas del Momento de la geograf√≠a ecuatoriana #TrendingTopics ‚Äî #trndnl",TRUE,"Fri Feb 15 11:03:20 +0000 2013",315816,32743,5,FALSE,"http://trendinalia.com/twitter-trending-topics/ecuador/","Trendinalia Ecuador","Quito","es",-18000,46,"trendinaliaEC","EC","Ecuador","city","Palora, Ecuador",NA,NA,-1.664467,-78.1048415,-1.7899,-78.0958,"https://www.facebook.com/cnn/videos/10155945728016509/","https://t.co/ImTx1Tdu04"
"RT @madmoisellebet: Parece que supera a #Inauguration #WomensMarch Ì†ΩÌ≤™Ì†ΩÌ≤™ https://t.co/evh6hQ5Kjp",12,FALSE,FALSE,"822851124629741569",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Sat Jan 21 16:59:30 +0000 2017",NA,NA,"es",0,FALSE,NA,"821544358289743872","Me gusta leer, harry potter, dormir, friends y ver series",FALSE,"Wed Jan 18 02:26:53 +0000 2017",24,3,2,FALSE,NA,"Valentina Andrea",NA,"es",NA,8,"nvanleati",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RT @funder: #BREAKING:Docs reveal Trump opened 32 new companies in 10 countries since Election Day #trumpleaks #theresistance‚Ä¶ ",6736,FALSE,FALSE,"822850852515958784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Sat Jan 21 16:58:25 +0000 2017",NA,NA,"en",71,FALSE,NA,"2508827207","#TheResistance, Lifelong Democrat. Former Tax Preparation 
NO LISTS-WILL AUTO BLOCK RWNJ! Goal: Leave the world a better place 4 next generation",FALSE,"Fri Apr 25 17:50:18 +0000 2014",28875,1125,39918,FALSE,NA,"DC-NEVERMyPresident",NA,"en",NA,961,"dalseyd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://cnn.it/2jLRRRR",""
"January 21, 2017 at 11:59PM - Mengalami masalah kantung mata yg membuat penampilan wajah lesu dan tidak menawan. Jafra solusinya.",0,FALSE,FALSE,"822851905592455169",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",FALSE,"Sat Jan 21 17:02:36 +0000 2017",NA,NA,"in",1,FALSE,NA,"714363756327735296","BB: 2675896A, WA: 0822-1819-5949, IG: Ristaboutique_id",FALSE,"Mon Mar 28 08:09:26 +0000 2016",723103,40,0,FALSE,NA,"Konsultan Jafra Asia",NA,"en",NA,104,"JafraAsia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RT @dallasgoldtooth: #indigenouswomenrise rounddance before the #WomensMarch on DC. #IndigenousRising https://t.co/ZJpb11J6BR",2042,FALSE,FALSE,"822851204589977600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Sat Jan 21 16:59:49 +0000 2017",NA,NA,"en",6,FALSE,"New York, NY","260423957","@Morning_Joe Staff Photographer and PA. RT ‚â† endorsement.",TRUE,"Thu Mar 03 21:24:40 +0000 2011",1469,334,1614,FALSE,"http://MillerHawkins.com","Miller Hawkins","Eastern Time (US & Canada)","en",-18000,352,"MillerHawkins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RT @footballspe: { #SVWBVB } Sans Aubameyang, Dortmund commence bien l'ann√©e en s'imposant sur la pelouse du Werder Br√™me (2-1) !‚Ä¶ ",16,FALSE,FALSE,"822850537817260033",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Sat Jan 21 16:57:10 +0000 2017",NA,NA,"fr",73,FALSE,"Sevran 3Trs ","53991769","@psg_inside ‚ù§Ô∏è| Ì†ºÌ∑∞Ì†ºÌ∑≤Ì†ºÌ∑≤Ì†ºÌ∑¨ | @aguerosergiokun ‚öΩÔ∏è‚ù§Ô∏è | Ì†ΩÌµãÌ†ΩÌπèÌ†ºÌøæ",TRUE,"Sun Jul 05 20:05:34 +0000 2009",93727,1053,3601,FALSE,"http://xn--nassoagerokun-2ob.com","Ninho","Paris","fr",3600,798,"NassoKun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://twitter.com/aravosis/status/822849840593899522",""
